Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Substance
70,141,101,156,1532,3423,191,271,1505,262,262,157,187,257,246,165,2469,671,Honey
70,141,101,156,1528,3418,191,271,1510,262,262,157,187,257,246,165,2468,672,Honey
70,141,101,156,1524,3412,191,271,1514,262,262,157,186,257,246,165,2469,672,Honey
70,141,101,155,1520,3407,190,271,1518,262,262,157,186,256,246,165,2468,673,Honey
70,141,101,155,1517,3404,190,271,1523,262,262,157,187,256,246,165,2469,673,Honey
70,141,101,155,1514,3401,190,270,1526,262,262,157,186,256,246,164,2468,673,Honey
70,141,101,155,1512,3397,190,270,1530,262,262,157,186,256,246,164,2468,674,Honey
70,141,101,155,1509,3394,190,270,1533,262,262,157,186,256,246,163,2468,674,Honey
70,141,101,155,1507,3391,190,270,1535,261,262,157,186,256,245,163,2469,674,Honey
70,141,100,155,1505,3388,190,270,1539,261,263,157,186,256,245,163,2468,675,Honey
70,141,100,154,1502,3385,190,270,1543,261,263,157,186,256,245,163,2468,676,Honey
70,141,100,154,1500,3382,190,270,1545,261,263,157,186,256,245,163,2468,676,Honey
69,141,101,156,1534,3427,189,269,1598,261,261,157,186,254,244,163,2467,669,Honey
69,141,101,156,1529,3421,189,269,1600,261,261,157,186,254,243,163,2468,670,Honey
69,141,101,156,1525,3415,189,269,1602,261,262,157,186,254,243,162,2468,672,Honey
69,141,101,155,1520,3409,189,269,1603,261,262,157,186,254,243,162,2468,673,Honey
69,141,101,155,1517,3405,189,269,1604,261,262,157,186,254,243,162,2469,673,Honey
69,141,101,155,1515,3400,188,269,1605,261,262,157,186,254,243,162,2469,674,Honey
69,141,101,155,1511,3396,188,269,1607,261,262,157,186,254,243,162,2469,674,Honey
69,141,101,155,1508,3392,188,269,1608,261,262,157,186,254,243,162,2469,675,Honey
69,141,100,154,1505,3388,188,269,1610,261,262,157,186,254,243,162,2469,675,Honey
69,141,100,154,1502,3384,188,268,1611,261,262,157,186,254,243,162,2468,676,Honey
69,140,100,154,1499,3381,188,268,1612,261,262,157,186,254,243,162,2468,676,Honey
69,140,100,153,1497,3378,188,268,1612,261,262,157,185,254,243,162,2467,676,Honey
69,140,100,153,1494,3375,188,268,1612,261,262,157,185,254,243,162,2467,677,Honey
69,140,100,153,1492,3372,188,268,1614,261,262,157,185,254,243,162,2467,677,Honey
69,140,100,153,1490,3370,188,268,1615,260,262,157,185,254,242,162,2467,677,Honey
119,221,135,192,2067,4109,296,363,13957,471,1390,246,358,349,355,259,2903,770,Sunflower Oil
119,221,135,192,2059,4100,296,363,14014,471,1396,246,358,349,355,259,2904,772,Sunflower Oil
119,221,135,192,2052,4092,296,363,14053,471,1401,246,358,349,355,259,2904,773,Sunflower Oil
119,221,135,191,2047,4085,296,363,14080,471,1404,246,358,349,355,259,2904,774,Sunflower Oil
119,221,135,191,2040,4078,296,363,14108,471,1408,246,358,349,355,258,2904,774,Sunflower Oil
119,221,135,191,2035,4072,296,363,14145,472,1411,246,358,349,354,258,2904,775,Sunflower Oil
119,221,135,191,2030,4066,296,363,14163,471,1414,246,358,348,354,258,2904,776,Sunflower Oil
119,221,135,190,2025,4061,296,363,14189,471,1417,246,358,348,353,258,2903,777,Sunflower Oil
119,221,135,190,2020,4056,296,363,14215,471,1420,247,358,348,353,258,2903,777,Sunflower Oil
119,221,135,190,2016,4051,296,363,14235,471,1422,247,358,348,353,258,2903,778,Sunflower Oil
119,221,135,190,2013,4047,296,363,14257,471,1425,247,358,348,353,258,2903,779,Sunflower Oil
119,221,135,190,2009,4042,296,363,14275,471,1427,247,358,348,353,257,2902,779,Sunflower Oil
119,221,135,190,2005,4038,296,362,14288,471,1429,247,358,347,352,257,2902,779,Sunflower Oil
118,220,134,189,2001,4033,295,361,14304,470,1431,246,358,347,352,257,2902,779,Sunflower Oil
119,221,134,188,1998,4029,296,362,14312,471,1433,246,358,347,352,257,2901,780,Sunflower Oil
119,222,134,191,2023,4062,296,363,14355,472,1431,247,358,346,351,257,2899,775,Sunflower Oil
119,222,134,190,2017,4054,296,363,14396,472,1436,247,358,346,351,257,2899,777,Sunflower Oil
119,222,134,190,2011,4046,296,363,14415,472,1439,247,358,346,351,256,2899,778,Sunflower Oil
119,222,134,190,2006,4040,296,363,14434,472,1442,247,358,346,351,256,2899,778,Sunflower Oil
119,222,134,190,2002,4035,296,362,14441,472,1443,247,357,346,350,256,2899,779,Sunflower Oil
119,222,134,189,1998,4031,296,362,14479,472,1447,248,358,346,351,256,2899,780,Sunflower Oil
119,222,134,189,1994,4025,296,362,14489,472,1449,248,358,345,350,256,2899,781,Sunflower Oil
119,222,134,188,1990,4020,296,363,14525,472,1453,248,358,345,350,256,2899,781,Sunflower Oil
119,222,134,188,1986,4016,296,362,14534,472,1455,248,358,345,350,256,2898,782,Sunflower Oil
119,222,134,188,1983,4013,296,362,14557,472,1457,247,358,345,350,256,2898,782,Sunflower Oil
119,222,134,188,1980,4010,296,362,14552,472,1457,248,358,345,350,256,2898,782,Sunflower Oil
119,222,134,188,1977,4005,296,362,14565,472,1459,248,358,345,350,256,2897,783,Sunflower Oil
119,222,134,188,1974,4002,296,362,14593,472,1462,248,358,345,350,256,2897,783,Sunflower Oil
119,222,134,188,1971,3998,296,362,14611,472,1464,248,358,345,350,256,2897,783,Sunflower Oil
119,222,134,187,1969,3995,296,362,14619,472,1465,248,358,345,349,255,2896,783,Sunflower Oil
141,246,189,312,3587,7437,531,621,24790,694,2878,387,542,521,576,433,5747,1515,4%-Fat Liquid Milk
141,246,188,311,3568,7420,532,621,24884,695,2888,387,543,521,576,433,5746,1517,4%-Fat Liquid Milk
140,245,188,310,3554,7404,532,621,24996,697,2901,388,543,521,576,433,5745,1519,4%-Fat Liquid Milk
140,245,188,310,3541,7392,532,621,25067,697,2909,388,543,521,575,433,5746,1521,4%-Fat Liquid Milk
140,245,188,310,3531,7381,532,621,25137,698,2916,388,543,520,575,433,5744,1522,4%-Fat Liquid Milk
140,245,188,309,3522,7371,532,621,25202,698,2923,388,543,520,575,433,5743,1523,4%-Fat Liquid Milk
140,245,187,308,3515,7363,533,622,25268,699,2929,388,543,520,575,433,5742,1524,4%-Fat Liquid Milk
140,245,187,308,3506,7355,533,622,25319,699,2934,389,543,520,574,433,5740,1525,4%-Fat Liquid Milk
139,245,187,308,3497,7346,533,622,25372,699,2939,389,544,520,574,433,5738,1525,4%-Fat Liquid Milk
139,245,187,307,3492,7338,533,622,25411,699,2943,389,544,519,573,432,5736,1525,4%-Fat Liquid Milk
139,245,187,307,3488,7333,533,622,25462,700,2948,389,544,519,573,432,5735,1526,4%-Fat Liquid Milk
138,245,187,307,3482,7325,533,622,25508,700,2953,389,544,519,573,432,5733,1526,4%-Fat Liquid Milk
138,244,187,306,3476,7318,533,622,25536,701,2956,389,544,519,573,432,5730,1527,4%-Fat Liquid Milk
138,244,187,306,3470,7313,534,621,25605,702,2962,389,544,519,574,432,5729,1528,4%-Fat Liquid Milk
138,243,187,306,3466,7306,534,621,25650,702,2967,389,544,519,574,432,5727,1528,4%-Fat Liquid Milk
142,245,188,310,3616,7382,533,621,25692,703,2940,389,542,516,574,431,5708,1515,4%-Fat Liquid Milk
142,245,188,309,3608,7371,534,621,25758,703,2949,389,542,516,574,431,5708,1517,4%-Fat Liquid Milk
142,245,188,308,3600,7359,534,621,25813,704,2957,390,543,516,574,431,5709,1518,4%-Fat Liquid Milk
142,245,188,308,3591,7349,534,622,25884,705,2965,391,543,516,575,431,5708,1519,4%-Fat Liquid Milk
142,245,188,308,3584,7340,534,621,25891,705,2967,391,543,516,574,431,5706,1521,4%-Fat Liquid Milk
142,245,187,307,3572,7332,534,622,25968,706,2976,391,543,517,574,432,5706,1522,4%-Fat Liquid Milk
142,245,187,307,3569,7324,535,622,26017,706,2981,391,544,517,574,432,5705,1523,4%-Fat Liquid Milk
142,245,187,307,3566,7317,535,622,26072,707,2987,391,544,517,575,432,5704,1524,4%-Fat Liquid Milk
142,245,187,306,3559,7309,535,622,26093,707,2989,391,544,517,575,431,5703,1524,4%-Fat Liquid Milk
142,245,187,306,3553,7303,535,622,26126,707,2993,391,544,517,575,431,5702,1525,4%-Fat Liquid Milk
142,245,187,306,3548,7298,536,622,26186,707,2999,392,544,517,576,431,5702,1526,4%-Fat Liquid Milk
142,245,187,306,3543,7292,536,622,26224,708,3003,392,544,517,575,431,5700,1527,4%-Fat Liquid Milk
142,245,187,305,3539,7286,536,622,26241,708,3005,392,545,517,575,431,5699,1527,4%-Fat Liquid Milk
142,245,187,305,3534,7281,537,622,26308,709,3012,392,545,518,575,432,5698,1528,4%-Fat Liquid Milk
142,245,187,305,3530,7276,537,622,26342,709,3015,392,545,518,575,432,5697,1529,4%-Fat Liquid Milk
117,247,215,332,3999,8779,324,525,923,361,303,330,163,125,157,113,8622,2365,White Onion
117,247,215,331,3987,8763,324,525,915,361,302,330,163,126,157,113,8620,2367,White Onion
117,247,215,331,3977,8751,323,525,920,361,303,330,163,126,157,113,8620,2370,White Onion
117,246,214,331,3968,8738,323,524,915,361,302,330,163,126,156,113,8618,2373,White Onion
117,246,213,330,3959,8727,323,524,921,360,303,330,163,126,156,113,8616,2374,White Onion
117,246,213,330,3951,8717,323,524,948,360,308,330,164,126,157,113,8615,2377,White Onion
116,246,213,330,3944,8708,322,523,875,359,294,329,162,125,156,112,8612,2378,White Onion
116,246,213,329,3937,8697,322,522,818,358,282,328,160,124,155,112,8608,2378,White Onion
116,246,213,329,3930,8690,322,522,800,357,279,328,159,123,155,112,8607,2380,White Onion
116,245,213,328,3926,8686,322,522,774,356,273,328,159,123,155,111,8619,2386,White Onion
116,245,213,328,3927,8687,321,522,672,354,253,327,156,122,155,111,8639,2390,White Onion
116,245,213,328,3922,8679,320,522,649,354,249,327,156,122,155,111,8641,2391,White Onion
116,245,212,328,3918,8674,319,521,587,353,236,326,154,121,154,111,8642,2392,White Onion
116,244,212,327,3913,8669,318,520,502,351,219,325,151,120,153,110,8631,2393,White Onion
116,244,212,327,3909,8662,318,520,525,351,224,326,152,120,153,110,8635,2394,White Onion
116,246,213,330,3959,8730,321,523,727,356,265,328,158,123,157,112,8647,2384,White Onion
116,246,213,330,3949,8718,321,522,722,356,264,328,158,123,156,112,8647,2387,White Onion
116,246,213,329,3939,8706,321,522,699,355,260,328,158,123,156,112,8646,2389,White Onion
116,246,213,328,3931,8695,321,522,728,356,266,328,158,123,156,112,8646,2391,White Onion
116,246,213,328,3924,8687,321,522,737,356,267,328,158,123,156,112,8646,2393,White Onion
116,246,213,328,3918,8679,321,522,747,356,269,328,158,123,156,112,8645,2395,White Onion
116,245,213,328,3912,8672,321,522,789,356,278,328,160,123,156,112,8646,2397,White Onion
116,245,213,328,3907,8664,322,523,798,357,279,328,160,123,157,112,8644,2398,White Onion
116,245,212,327,3902,8658,321,522,755,356,271,328,158,123,156,112,8643,2399,White Onion
116,245,212,327,3896,8649,321,522,732,355,266,327,158,123,156,112,8642,2399,White Onion
116,245,212,327,3892,8644,321,522,729,355,266,327,158,123,156,112,8639,2401,White Onion
116,245,212,327,3888,8639,321,522,728,355,266,327,158,122,156,112,8639,2403,White Onion
116,245,212,326,3884,8632,321,522,731,355,266,327,158,122,156,112,8638,2404,White Onion
116,245,212,326,3880,8624,320,522,729,355,266,327,158,122,156,112,8638,2405,White Onion
116,245,212,326,3876,8622,320,521,721,355,264,327,157,122,156,111,8638,2406,White Onion
198,450,369,622,7468,16496,998,1109,44660,1239,7429,793,1874,1250,877,512,11236,3421,Table Salt
198,450,368,621,7442,16461,998,1109,44732,1239,7449,793,1877,1250,878,512,11237,3427,Table Salt
198,450,368,620,7418,16431,999,1110,44803,1239,7468,780,1880,1252,878,513,11237,3432,Table Salt
198,449,368,619,7397,16404,998,1109,44800,1239,7475,791,1879,1252,878,512,11237,3437,Table Salt
198,448,367,617,7378,16381,998,1108,44842,1239,7487,793,1880,1252,878,512,11237,3442,Table Salt
197,448,367,616,7361,16358,999,1109,44960,1241,7513,794,1884,1254,879,513,11237,3445,Table Salt
197,448,367,616,7344,16337,1000,1109,45019,1241,7529,794,1886,1255,879,513,11237,3449,Table Salt
197,448,367,615,7326,16313,999,1109,45016,1240,7532,794,1885,1255,879,513,11235,3451,Table Salt
197,448,366,614,7312,16294,999,1109,45025,1240,7540,794,1885,1255,879,513,11234,3455,Table Salt
197,448,366,613,7299,16277,999,1109,45083,1240,7553,794,1887,1256,880,513,11234,3457,Table Salt
197,448,366,612,7287,16262,999,1108,45059,1240,7553,794,1886,1255,879,512,11234,3460,Table Salt
197,448,366,612,7274,16244,999,1108,45088,1239,7561,794,1887,1255,879,512,11233,3462,Table Salt
197,447,366,611,7262,16228,999,1108,45093,1239,7566,794,1887,1255,879,512,11230,3464,Table Salt
197,447,366,611,7251,16213,999,1108,45133,1239,7575,789,1888,1255,879,513,11229,3466,Table Salt
197,447,365,610,7240,16197,999,1108,45191,1240,7589,793,1890,1256,880,513,11228,3468,Table Salt
197,450,367,617,7367,16371,999,1110,45040,1241,7527,794,1886,1254,879,513,11234,3443,Table Salt
197,449,367,616,7344,16340,999,1110,45129,1241,7550,795,1889,1256,880,514,11235,3448,Table Salt
